OBJECTID,CTYUA21CD,CTYUA21NM,CTYUA21NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length
164,S12000005,Clackmannanshire, ,291178,696402,-3.75316,56.14784,162845692.195908,72430.0037943694
165,S12000006,Dumfries and Galloway, ,270645,579856,-4.02863,55.09621,6444950609.26756,672020.997095968
166,S12000008,East Ayrshire, ,255398,624935,-4.29057,55.49674,1272832615.86668,276686.020027799
167,S12000010,East Lothian, ,354854,672351,-2.72435,55.94207,678145466.377594,140169.73281082
168,S12000011,East Renfrewshire, ,251929,653115,-4.3606,55.74868,175683611.934464,75237.1219538965
169,S12000013,Na h-Eileanan Siar, ,126473,932862,-6.65722,58.19938,3039223462.58513,1598293.41932145
170,S12000014,Falkirk, ,285585,680168,-3.83619,56.00075,299676109.961548,106975.967832114
171,S12000017,Highland, ,241018,858292,-4.66103,57.58657,26119282747.4341,3078817.46531343
172,S12000018,Inverclyde, ,227922,670894,-4.75387,55.9003,163739391.541351,61858.0599087551
173,S12000019,Midlothian, ,330088,659217,-3.11738,55.82111,354813985.93425,110233.8412277
174,S12000020,Moray, ,328015,843590,-3.20202,57.4768,2250631435.12309,339066.360121661
175,S12000021,North Ayrshire, ,228996,651640,-4.7246,55.72789,880766049.365005,256095.25940534
176,S12000023,Orkney Islands, ,348293,1006584,-2.90025,58.94334,992881457.774963,769874.412014164
177,S12000026,Scottish Borders, ,345889,626137,-2.85869,55.52595,4743912076.49902,430321.245135751
178,S12000027,Shetland Islands, ,434516,1180307,-1.37344,60.50495,1430660049.30353,1177262.05009023
179,S12000028,South Ayrshire, ,226545,596271,-4.72899,55.23008,1221025268.86559,246313.432250481
180,S12000029,South Lanarkshire, ,284634,636071,-3.83272,55.60453,1771615500.64397,247590.081940624
181,S12000030,Stirling, ,255980,708769,-4.32595,56.24953,2259083398.41556,286927.508850726
182,S12000033,Aberdeen City, ,387763,808479,-2.20398,57.16697,186578693.000488,81373.8980626391
183,S12000034,Aberdeenshire, ,352284,816277,-2.79208,57.23469,6321075874.66251,549934.652753982
184,S12000035,Argyll and Bute, ,200740,715443,-5.22114,56.28944,6962629958.00507,2180164.90417448
185,S12000036,City of Edinburgh, ,320193,669417,-3.27826,55.9112,263257604.883408,88848.0201269482
186,S12000038,Renfrewshire, ,239305,664698,-4.56834,55.84862,269710246.439316,89379.6211989031
187,S12000039,West Dunbartonshire, ,242904,681586,-4.52074,56.0014,179457861.602951,73529.8749478943
188,S12000040,West Lothian, ,299483,668514,-3.60909,55.8992,427172556.685608,113022.002886719
189,S12000041,Angus, ,345506,759636,-2.8921,56.72518,2194117982.30219,245544.533643781
190,S12000042,Dundee City, ,340291,732145,-2.97095,56.4776,57821977.2098694,39632.7891345904
191,S12000045,East Dunbartonshire, ,261240,676154,-4.22417,55.95829,173578352.18251,83606.6273080683
192,S12000047,Fife, ,339187,704721,-2.98251,56.23112,1323366700.5894,248412.104097408
193,S12000048,Perth and Kinross, ,284302,744185,-3.88484,56.57528,5385357474.75748,485178.461844592
194,S12000049,Glasgow City, ,261534,667033,-4.21479,55.87649,178529066.400253,87927.4678219518
195,S12000050,North Lanarkshire, ,277984,665608,-3.9514,55.86814,470403040.707123,139061.786893944
196,W06000001,Isle of Anglesey,Ynys Môn,245217,378331,-4.32298,53.27931,715209682.948448,178624.878323365
197,W06000002,Gwynedd,Gwynedd,280555,334966,-3.77715,52.89883,2553433037.99784,411986.283105436
198,W06000003,Conwy,Conwy,283293,362563,-3.74646,53.14739,1137063898.89409,195518.028627728
199,W06000004,Denbighshire,Sir Ddinbych,309843,355416,-3.34761,53.08833,834229700.102371,188285.825767837
200,W06000005,Flintshire,Sir y Fflint,321134,369280,-3.18248,53.21471,433977246.850761,129379.645121308
201,W06000006,Wrexham,Wrecsam,333523,345387,-2.99203,53.00167,506885367.147919,155283.77627925
202,W06000008,Ceredigion,Ceredigion,267127,268437,-3.94993,52.29795,1781831218.38643,256694.164436773
203,W06000009,Pembrokeshire,Sir Benfro,199821,221392,-4.90818,51.85513,1628763846.90121,361107.053246735
204,W06000010,Carmarthenshire,Sir Gaerfyrddin,247954,224133,-4.2111,51.89495,2381092295.26535,284419.084953587
205,W06000011,Swansea,Abertawe,264022,197308,-3.96723,51.65806,383642324.192703,116627.963704057
206,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,279261,195412,-3.74638,51.6445,446557917.441917,119094.921177167
207,W06000013,Bridgend,Pen-y-bont ar Ogwr,288231,185870,-3.61375,51.5606,249408149.893684,76260.2886923601
208,W06000014,Vale of Glamorgan,Bro Morgannwg,302947,173080,-3.39801,51.44836,329187507.046158,86698.3425244419
209,W06000015,Cardiff,Caerdydd,315272,178887,-3.22209,51.50254,142068104.619137,54383.2370706351
210,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,302237,192395,-3.41359,51.62185,422322765.345913,112336.533505479
211,W06000018,Caerphilly,Caerffili,317245,195259,-3.19753,51.65001,277815064.267841,98224.5000004764
212,W06000019,Blaenau Gwent,Blaenau Gwent,318236,206771,-3.18592,51.75364,109273372.239006,58166.9529683021
213,W06000020,Torfaen,Torfaen,327459,200480,-3.05101,51.69836,125716747.279713,68469.967277748
214,W06000021,Monmouthshire,Sir Fynwy,337812,209231,-2.9028,51.77827,854473392.064545,181596.37947322
215,W06000022,Newport,Casnewydd,337897,187432,-2.89769,51.58231,192540015.193893,81882.1942381903
216,W06000023,Powys,Powys,302329,273255,-3.43531,52.34864,5199755131.33841,504309.884218643
217,W06000024,Merthyr Tydfil,Merthyr Tudful,305916,206424,-3.36425,51.74858,113429186.940109,59195.3263419334
